,地区,人均GDP,三产比重,人均消费,人口增长,文盲半文盲
0,内蒙古,5068,31.1,2141,8.23,15.83
1,广西,4076,34.2,2040,9.01,13.32
2,贵州,2342,29.8,1551,14.26,28.98
3,云南,4355,31.1,2059,12.1,25.48
4,西藏,3716,43.5,1551,15.9,57.97
5,宁夏,4270,37.3,1947,13.08,25.56
6,新疆,6229,35.4,2745,12.81,11.44
7,甘肃,3456,32.8,1612,10.04,28.65
8,青海,4367,40.9,2047,14.48,42.92
